origin,modern
Who calls?,Who’s calling me?
Bid every noise be still.,"Quiet, everyone!"
Peace yet again.,Quiet!
Who is it in the press that calls on me?,Who in the crowd is calling me?
"I hear a tongue, shriller than all the music, Cry “Caesar!”—Speak.",I hear a voice more piercing than the music of these trumpets calling “Caesar!” Speak.
Caesar is turned to hear.,Caesar is listening.
Beware the ides of March.,Beware of March 15th.
What man is that?,Who’s that?
A soothsayer bids you beware the ides of March.,A soothsayer tells you to beware of March 15th.
Set him before me.,Bring him in front of me.
Let me see his face.,Let me see his face.
"Fellow, come from the throng.","You, fellow, step out of the crowd."
Look upon Caesar.,This is Caesar you’re looking at.
What sayst thou to me now?,What do you have to say to me now?
Speak once again.,Speak once again.
Beware the ides of March.,Beware of March 15th.
He is a dreamer.,He’s insane.
Let us leave him.,Let’s leave him.
Pass!,Let’s move.
Will you go see the order of the course?,Are you going to watch the race?
"How many times shall Caesar bleed in sport, That now on Pompey’s basis lies along No worthier than the dust!","How many times will Caesar bleed again in show, though he now lies at the base of Pompey’s statue, as worthless as dust!"
"Ay, every man away.","Yes, every man forward."
"Brutus shall lead, and we will grace his heels With the most boldest and best hearts of Rome.","Brutus will lead, and we’ll follow him with the boldest and best hearts of Rome."
Soft!,Wait a minute.
Who comes here?,Who’s that coming?
A friend of Antony’s.,It’s a friend of Antony’s.  
Thy master is a wise and valiant Roman.,Your master is a wise and honorable Roman.
I never thought him worse.,I never thought any less of him.
"Tell him, so please him come unto this place, He shall be satisfied and, by my honor, Depart untouched.","Tell him, if he comes here, I’ll explain everything to him and, on my word, he’ll leave unharmed."
I know that we shall have him well to friend.,I know that he’ll be on our side.
"But here comes Antony.—Welcome, Mark Antony.","But here comes Antony.—Welcome, Mark Antony."
O mighty Caesar!,"Oh, mighty Caesar!"
Dost thou lie so low?,Do you lie so low?
"Are all thy conquests, glories, triumphs, spoils, Shrunk to this little measure?","Have all your conquests, glories, triumphs, achievements, come to so little?"
Fare thee well.,Farewell.
"I know not, gentlemen, what you intend, Who else must be let blood, who else is rank.","Gentlemen, I don’t know what you intend to do, who else you intend to kill, who else you consider corrupt."
"If I myself, there is no hour so fit As Caesar’s death’s hour, nor no instrument Of half that worth as those your swords, made rich With the most noble blood of all this world.","If it’s me, there’s no time as good as this hour of Caesar’s death, and no weapon better than your swords, covered with the noblest blood in the world."
"I do beseech ye, if you bear me hard, Now, whilst your purpled hands do reek and smoke, Fulfill your pleasure.","I ask you, if you have a grudge against me, to kill me now, while your stained hands still reek of blood."
"Live a thousand years, I shall not find myself so apt to die.",I could live a thousand years and I wouldn’t be as ready to die as I am now.
"No place will please me so, no mean of death, As here by Caesar, and by you cut off, The choice and master spirits of this age.","There’s no place I’d rather die than here by Caesar, and no manner of death would please me more than being stabbed by you, the masters of this new era."
"O Antony, beg not your death of us.","Oh, Antony, don’t beg us to kill you."
They are pitiful.,They are full of pity for Caesar.
"And pity to the general wrong of Rome— As fire drives out fire, so pity pity— Hath done this deed on Caesar.","But a stronger pity, for the wrongs committed against Rome, drove out our pity for Caesar, as fire drives out fire, and so we killed him."
"For your part, To you our swords have leaden points, Mark Antony.","For you, our swords have blunt edges, too dull to harm you, Mark Antony."
"Our arms in strength of malice and our hearts Of brothers' temper do receive you in With all kind love, good thoughts, and reverence.","Our arms, which can be strong and cruel, and our hearts, filled with brotherly love, embrace you with kind love, good thoughts, and reverence."
Your voice shall be as strong as any man’s In the disposing of new dignities.,Your vote will be as strong as anyone’s in the reordering of the government.
"Only be patient till we have appeased The multitude, beside themselves with fear, And then we will deliver you the cause, Why I, that did love Caesar when I struck him, Have thus proceeded.","But just be patient until we’ve calmed the masses, who are beside themselves with fear."
I doubt not of your wisdom.,I don’t doubt your wisdom.
Let each man render me his bloody hand.,"Each of you, give me your bloody hand."
"Mark Antony— Pardon me, Caius Cassius.","Mark Antony— Pardon me, Caius Cassius."
"Therefore I took your hands, but was indeed Swayed from the point by looking down on Caesar.","I took your hands in friendship, but, indeed, I was distracted when I looked down at Caesar."
Friends am I with you all and love you all Upon this hope: that you shall give me reasons Why and wherein Caesar was dangerous.,"I am friends with you all and love you all, on one condition—that you prove to me that Caesar was dangerous."
"Our reasons are so full of good regard That were you, Antony, the son of Caesar, You should be satisfied.","Our reasons are so well considered that even if you, Antony, were Caesar’s son, you would be satisfied with them."
